시장명,시장유형,소재지도로명주소,시장개설주기,소재지지번주소,점포수,사용가능상품권,공중화장실 보유여부,주차장 보유여부,개설년도,데이터기준일자
중앙시장,상설,강원도 강릉시 금성로 21,상설,강원 강릉시 성남동 50번지 ,229,온누리상품권,Y,Y,1980,2015-12-31
강릉동부시장,상설,강원도 강릉시 옥천로 48,상설,강원 강릉시 옥천동 223번지 ,91,,Y,N,2014,2015-12-31
강릉서부시장,상설,강원도 강릉시 임영로 155번길 6,상설,강원 강릉시 용강동 29번지 ,109,온누리상품권,Y,Y,1977,2015-12-31
주문진종합시장,상설+정기,강원도 강릉시 주문진읍 구 시장길,5일,강원 강릉시 주문진읍 주문리 321-52번지 ,77,온누리상품권,Y,Y,2006,2015-12-31
주문진수산시장,상설,강원도 강릉시 주문진읍 시장1길 4-1,상설,강원 강릉시 주문진읍 주문리 312-91번지 ,42,온누리상품권,Y,Y,2007,2015-12-31
주문진건어물시장,상설,강원도 강릉시 주문진읍 주문리 해안로 1740,상설,강원 강릉시 주문진읍 주문리 312-56번지 ,94,온누리상품권,Y,Y,2008,2015-12-31
강릉성남시장,상설,강원도 강릉시 중앙시장길 16,상설,강원 강릉시 성남동 53-8번지 ,125,온누리상품권,Y,Y,2008,2015-12-31
간성시장,상설+정기,강원도 고성군 간성시장 2길 11-1,5일,강원 고성군 간성읍 신안리 262번지 ,89,온누리상품권,Y,Y,2003,2015-12-31
거진시장,상설+정기,강원도 고성군 거진읍 거진시장길 15,5일,강원 고성군 거진읍 거진리 272번지 ,51,온누리상품권,Y,Y,2010,2015-12-31
북평민속시장,상설+정기,강원도 동해시 북평 오일장길 32,5일,강원 동해시 구미동 497-11번지 일원 ,130,온누리상품권,Y,Y,2013,2015-12-31
동쪽바다중앙시장,상설,강원도 동해시 중앙시장길 12,상설,강원 동해시 발한동 12-2번지 일원 ,242,온누리상품권,Y,Y,2006,2015-12-31
동해남부재래시장,상설,강원도 동해시 청운1길 29,상설,강원 동해시 동희동 442번지 ,227,온누리상품권,Y,Y,2011,2015-12-31
도계중앙시장,상설,강원도 삼척시 도계읍 도계로 4길 20,상설,강원 삼척시 도계읍 도계리 390-1,15,,Y,Y,1965,2015-12-31
도계전두시장,상설,강원도 삼척시 도계읍 전두리 83번지,상설,강원 삼척시 도계읍 전두리 83-2,76,온누리상품권,Y,Y,2004,2015-12-31
삼척번개시장,상설,강원도 삼척시 중앙로 10,상설,강원 삼척시 사직동 50-2,10,온누리상품권,Y,N,2009,2015-12-31
삼척중앙시장,상설+정기,강원도 삼척시 진주로 12-21,5일,강원 삼척시 남양동 55-4,299,온누리상품권,Y,Y,2014,2015-12-31
속초중앙전통시장,상설,강원도 속초시 중앙로 129번길 33,상설,강원 속초시 중앙동 493-3 외 127번지 ,378,온누리상품권,Y,Y,2006,2015-12-31
속초종합중앙시장,상설,강원도 속초시 중앙로 471-4,상설,강원 속초시 중앙동 471-4번지 ,277,온누리상품권,Y,Y,2006,2015-12-31
양구중앙시장,상설+정기,강원도 양구군 양구읍 중앙길 68,5일,강원 양구군 양구읍 상리 235번지 ,59,온누리상품권,Y,Y,2008,2015-12-31
양양전통시장,상설+정기,강원도 양양군 양양읍 남문로 5길 4-1,5일,강원 양양군 양양읍 남문리 57-1번지 ,66,온누리상품권,Y,Y,2012,2015-12-31
서부공설시장,상설,강원도 영월군 영월읍 서부 시장길 8-1,상설,강원 영월군 영월읍 하송리 5-11번지 일원 ,48,온누리상품권,Y,Y,2005,2015-12-31
영월서부시장,상설,강원도 영월군 영월읍 중앙로 30-1,상설,강원 영월군 영월읍 영흥리 947-57번지 일원 ,18,온누리상품권,Y,Y,2005,2015-12-31
영월종합상가시장,상설,강원도 영월군 영월읍 하송안길 8-9,상설,강원 영월군 영월읍 하송리 11-1번지 ,117,온누리상품권,Y,Y,1988,2015-12-31
원주남부시장,상설,강원도 원주시 명륜동 26번지,상설,강원 원주시 명륜1동 26번지 ,195,온누리상품권,Y,Y,1977,2015-12-31
문막시장,상설+정기,강원도 원주시 문막읍 문막시장 1길 52-10,5일,강원 원주시 문막읍 문막리 240-1번지 ,89,온누리상품권,Y,N,2009,2015-12-31
중앙시민전통시장,상설,강원도 원주시 자유 시장길 26,상설,강원 원주시 중앙동 42-3번지 ,97,온누리상품권,Y,Y,1970,2015-12-31
자유시장,상설,강원도 원주시 중앙 시장길,상설,강원 원주시 중앙동 57번지 ,480,온누리상품권,Y,Y,2004,2015-12-31
중앙시장,상설,강원도 원주시 중앙시장길 6,상설,강원 원주시 중앙동 62-55번지 ,280,온누리상품권,Y,Y,1970,2015-12-31
북원상가시장,상설,강원도 원주시 태장 2동 1379-23,상설,강원 원주시 태장동 1379-4번지 외 ,51,온누리상품권,Y,Y,2007,2015-12-31
민속풍물시장,상설+정기,강원도 원주시 평원동 풍물시장길 30,5일,강원 원주시 평원동 134-1번지 ,120,온누리상품권,Y,N,2013,2015-12-31
원통시장,상설+정기,강원도 인제군 북면 원통리 647-5,5일,강원 인제군 북면 원통리 647-6번지 ,32,온누리상품권,Y,N,2009,2015-12-31
인제시장,상설+정기,강원도 인제군 인제읍 비봉로 6번길 10,5일,강원 인제군 인제읍 296-2번지 ,51,온누리상품권,N,N,2009,2015-12-31
고한시장,상설+정기,강원도 정선군 고한읍 고한리 430,5일,강원 정선군 고한읍 고한리 62-430번지 ,84,온누리상품권,Y,Y,1967,2015-12-31
사북시장,상설+정기,강원도 정선군 사북읍 사북2길 6-1,5일,강원 정선군 사북읍 사북리 366-59번지 ,66,온누리상품권,Y,Y,2006,2015-12-31
"임계시장(구,송계시장)",정기,강원도 정선군 임계면 송계5길 10,5일,강원 정선군 임계면 송계5길 10 ,83,,Y,Y,2013,2015-12-31
정선아리랑시장,상설+정기,강원도 정선군 정선읍,5일,강원 정선군 정선읍 봉양리 349-20번지 ,151,온누리상품권,Y,N,2006,2015-12-31
신철원시장,상설+정기,강원도 철원군 갈말읍 삼부연로 18번길 8-3,5일,강원 철원군 갈말읍 신철원리 679번지 외  ,25,온누리상품권,Y,Y,1990,2015-12-31
동송전통시장,상설+정기,강원도 철원군 동송읍 이평 680-1,5일,강원 철원군 동송읍 이평 4리 678-7번지 ,92,온누리상품권,Y,Y,2012,2015-12-31
동송시장,상설+정기,강원도 철원군 동송읍 이평4리,5일,강원 철원군 동송읍 이평리 680-1번지 ,86,온누리상품권,Y,Y,1990,2015-12-31
외수시장,상설+정기,강원도 철원군 서면 와수로 184번길 6-3,5일,강원 철원군 서면 와수리 1171-21번지 ,55,온누리상품권,Y,Y,1978,2015-12-31
춘천남부시장,상설,강원도 춘천시 공지로 367,상설,강원 춘천시 효자1동 684-11번지 ,34,온누리상품권,Y,Y,1982,2015-12-31
춘천동부시장,상설,강원도 춘천시 동부시장길8,상설,강원 춘천시 운교동 183번지 ,76,온누리상품권,Y,Y,1988,2015-12-31
춘천서부시장,상설,강원도 춘천시 서부대성로 12,상설,강원 춘천시 소양로2가 172-1번지 ,105,온누리상품권,Y,Y,2003,2015-12-31
춘천번개시장,상설,강원도 춘천시 소양로 1가 번개 시장길,상설,강원 춘천시 소양로 1가,61,온누리상품권,Y,N,2014,2015-12-31
제일종합시장,상설,강원도 춘천시 약사고개길 13,상설,강원 춘천시 죽림동 32번지 ,288,온누리상품권,Y,Y,1984,2015-12-31
춘천풍물시장,상설+정기,강원도 춘천시 영서로 2352-28,5일,강원 춘천시 온의동 29-3번지 일원 ,118,온누리상품권,Y,Y,2010,2015-12-31
춘천중앙시장,상설,강원도 춘천시 중앙로2가 81-3,상설,강원 춘천시 중앙로2가 42-18번지 ,228,온누리상품권,Y,N,1962,2015-12-31
후평일단지시장,상설,강원도 춘천시 효평길 104(후평동),상설,강원 춘천시 후평2동 692-24번지 일원 ,89,온누리상품권,Y,Y,2009,2015-12-31
황지자유시장,상설,강원도 태백시 시장안1길 18-1,상설,강원 태백시 황지동 38번지 ,118,온누리상품권,Y,Y,1956,2015-12-31
장성중앙시장,상설,강원도 태백시 장성1길 190,상설,강원 태백시 장성동 159-2번지 ,52,온누리상품권,Y,Y,1973,2015-12-31
대화전통시장,상설+정기,강원도 평창군 대화면 대화시장 2길 6,5일,강원 평창군 대화면 대화리 1001-5번지 외 ,49,,Y,Y,2004,2015-12-31
봉평전통시장,상설+정기,강원도 평창군 봉평면 허생원 장터길 15,5일,강원 평창군 봉평면 창동리 353-1번지 외 ,59,온누리상품권,Y,N,1976,2015-12-31
진부전통시장,상설+정기,강원도 평창군 진부면 진부 중앙로 61,5일,강원 평창군 진부면 하진부리 138-1번지 외 ,81,온누리상품권,Y,Y,2009,2015-12-31
"평창올림픽시장(구,평창전통시장)",상설+정기,강원도 평창군 평창읍,5일,강원 평창군 평창읍 하리 139-1 ,69,온누리상품권,Y,Y,2014,2015-12-31
홍천중앙시장,상설+정기,강원도 홍천군 홍천읍 신장대리 5-3,5일,강원 홍천군 홍천읍 신장대리 5-3번지 ,102,온누리상품권,Y,N,2005,2015-12-31
홍천시장,상설+정기,강원도 홍천군 홍천읍 홍천로8길 13 ,5일,강원 홍천군 홍천읍 신장대리 8-130번지 ,111,온누리상품권,Y,N,2012,2015-12-31
화천재래시장,상설+정기,강원도 화천군 중앙로 24길 12,5일,강원 화천군 화천읍 하리 44-41번지 외 ,133,온누리상품권,Y,Y,1953,2015-12-31
횡성시장,상설+정기,강원도 횡성군 읍상서로 5번길 26,5일,강원 횡성군 횡성읍 읍하리 277-3번지 ,132,온누리상품권,Y,Y,1980,2015-12-31
가평잣고을전통시장,상설+정기,경기도 가평군 가평읍 가화로 116-1,5일,경기 가평군 가평읍 읍내리 473-15 일원 ,28,온누리상품권,Y,Y,2006,2015-12-31
능곡시장,상설+정기,경기도 고양시 덕양구 능곡로 12-9,5일,경기 고양시 덕양구토당동 383-10,120,온누리상품권,Y,N,2011,2015-12-31
원당시장,상설,경기도 고양시 덕양구 성사동 697-14,상설,경기 고양시 덕양구성사동 697-14,70,온누리상품권,N,N,2005,2015-12-31
일산시장,상설,경기도 고양시 일산서구 일청로 12번길 9,상설,경기 고양시 일산서구일산동 617-20,133,온누리상품권,Y,Y,1981,2015-12-31
덕이동패션1번지,상설,경기도 고양시 일산서구 탄중로 101번길 13,상설,경기 고양시 일산서구덕이동 384-1,63,온누리상품권,Y,Y,2006,2015-12-31
과천새서울프라자시장,상설,경기도 과천시 별양 상가 2로 20,상설,경기 과천시 별양동 1-18,178,온누리상품권,Y,Y,1994,2015-12-31
제일쇼핑시장,상설,경기도 과천시 별양동 1-13,상설,경기 과천시 별양동 1-13,126,온누리상품권,Y,Y,2010,2015-12-31
광명새마을시장,상설,경기도 광명시 광명로 831번길,상설,경기 광명시 광명동 290,185,온누리상품권,Y,Y,2013,2015-12-31
광명시장,상설,경기도 광명시 오리로 971,상설,경기 광명시 광명동 158,375,온누리상품권,Y,N,2005,2015-12-31
경안시장,상설+정기,경기도 광주시 경안로 25번길 14-1,5일,경기 광주시 경안동 33-16,88,온누리상품권,Y,Y,2005,2015-12-31
구리전통시장,상설,경기도 구리시 검배로 6번길 31,상설,경기 구리시 수택동 417,186,온누리상품권,Y,Y,2006,2015-12-31
군포역전시장,상설,경기도 군포시 군포로 540,상설,경기 군포시 당동 749,60,온누리상품권,Y,N,2005,2015-12-31
산본시장,상설,경기도 군포시 산본천로 1790번길 21,상설,경기 군포시 산본동 221-5,204,온누리상품권,Y,Y,2005,2015-12-31
김포중앙시장,상설,경기도 김포시 북변중로 55-1,상설,경기 김포시 북변동 382-11,116,온누리상품권,Y,N,2005,2015-12-31
양곡시장,상설,경기도 김포시 양촌읍 양곡로 537,상설,경기 김포시 양촌읍 414-3,95,온누리상품권,Y,N,2014,2015-12-31
통진시장(마송5일장시장),상설,경기도 김포시 통진읍 서암로 84번길 29,상설,경기 김포시 통진읍 서암리 721,80,온누리상품권,N,N,2012,2015-12-31
동두천큰시장,상설+정기,경기도 동두천시 생연로 97-1,5일,경기 동두천시 생연동 698-1 ,106,온누리상품권,Y,Y,2005,2015-12-31
동두천제일시장,상설,경기도 동두천시 정장로 12-11,상설,경기 동두천시 생연동 823-22 ,50,온누리상품권,Y,Y,2007,2015-12-31
중앙시장,상설,경기도 동두천시 중앙로 285번길 9,상설,경기 동두천시 생연동 604 ,178,온누리상품권,Y,Y,2005,2015-12-31
세아프라자상가,상설,경기도 동두천시 큰시장로 64,상설,경기 동두천시 생연동 809 ,202,온누리상품권,Y,Y,2014,2015-12-31
역곡남부시장,상설,경기도 부천시 소사구 경인로 498번길 26,상설,경기 부천시 괴안동 108-4 ,71,온누리상품권,N,N,2006,2015-12-31
조공시장,상설,경기도 부천시 소사구 경인옛로 118번길 27,상설,경기 부천시 괴안동 38-10 ,73,온누리상품권,N,N,2010,2015-12-31
청과물시장,상설,경기도 부천시 소사구 심곡로 15번길 42,상설,경기 부천시 심곡본동 660-2,74,온누리상품권,Y,N,1973,2015-12-31
부천한신시장,상설,경기도 부천시 소사구 운성로 68번길 46,상설,경기 부천시 소사본동 196-9,89,온누리상품권,Y,N,1986,2015-12-31
부천자유시장,상설,경기도 부천시 소사구 자유로 33,상설,경기 부천시 심곡본동 543,317,온누리상품권,Y,N,2009,2015-12-31
소사종합시장,상설,경기도 부천시 소사구 호현로 472-1,상설,경기 부천시 소사본동 77,55,온누리상품권,N,N,2006,2015-12-31
고강시장,상설,경기도 부천시 오정구 고리울로 64번길 27,상설,경기 부천시 고강동 407 ,73,온누리상품권,N,N,2007,2015-12-31
오정시장,상설,경기도 부천시 오정구 부천로 470번길,상설,경기 부천시 오정동 582-30,80,온누리상품권,N,N,2005,2015-12-31
원종시장,상설,경기도 부천시 오정구 삼작로 400,상설,경기 부천시 원종동 367,35,온누리상품권,Y,Y,2006,2015-12-31
원종중앙시장,상설,경기도 부천시 오정구 성오로 124번길 47,상설,경기 부천시 원종동 209-5,184,온누리상품권,Y,Y,1991,2015-12-31
부천제일시장,상설,경기도 부천시 오정구 원종동 296,상설,경기 부천시 원종동 202-2,154,온누리상품권,N,Y,2008,2015-12-31
원종종합시장,상설,경기도 부천시 오정구 원종동 372-2,상설,경기 부천시 원종동 367-1,46,온누리상품권,Y,N,2005,2015-12-31
신흥시장,상설,경기도 부천시 오정구 평천로 721번길 14-2,상설,경기 부천시 삼정동 315,69,온누리상품권,Y,Y,2006,2015-12-31
역곡북부시장,상설,경기도 부천시 원미구 역곡1동 84-7,상설,경기 부천시 역곡1동 83-5,115,온누리상품권,Y,N,1984,2015-12-31
강남시장,상설,경기도 부천시 원미구 옥산로 154번길 20,상설,경기 부천시 도당동 275-9,114,온누리상품권,Y,Y,2006,2015-12-31
원미종합시장,상설,경기도 부천시 원미구 원미동 97-12,상설,경기 부천시 원미동 97-12,108,온누리상품권,Y,N,2005,2015-12-31
부천중동시장,상설,경기도 부천시 원미구 장말로 199번길 33,상설,경기 부천시 중동 734-13,81,온누리상품권,Y,Y,1995,2015-12-31
부천상동시장,상설,경기도 부천시 원미구 장말로 200번길 48,상설,경기 부천시 상동 244-3,146,온누리상품권,N,N,1995,2015-12-31
원미부흥시장,상설,경기도 부천시 원미구 조종로 48,상설,경기 부천시 원미동 117-12,60,온누리상품권,N,N,2006,2015-12-31
금호시장,상설,경기도 성남시 분당구 내정로 165,상설,경기 성남시 수내동 32,178,온누리상품권,Y,Y,2013,2015-12-31
코끼리시장,상설,경기도 성남시 분당구 내정로 166번길 7-6,상설,경기 성남시 수내동 56,98,온누리상품권,Y,Y,1994,2015-12-31
돌고래시장,상설,경기도 성남시 분당구 내정로 174번길 42,상설,경기 성남시 수내동 53,143,온누리상품권,Y,Y,2010,2015-12-31
분당종합시장,상설,경기도 성남시 분당구 돌마로 366번길 42,상설,"경기 성남시 수내동 83-1,2번지",51,온누리상품권,Y,Y,,2015-12-31
미래타운제2종합시장,상설,경기도 성남시 분당구 불정로 376번지,상설,경기 성남시 서현동 311,58,,Y,Y,2013,2015-12-31
미래타운제1종합시장,상설,경기도 성남시 분당구 불정로 386번길 10,상설,경기 성남시 서현동 307,95,,Y,Y,2006,2015-12-31
코코프라자시장,상설,경기도 성남시 분당구 서현동 248-5,상설,"경기 성남시 서현동 248-5,6",66,온누리상품권,Y,Y,1994,2015-12-31
현대프라자시장,상설,경기도 성남시 분당구 수내동 79-2,상설,경기 성남시 수내동 79-2,27,온누리상품권,Y,Y,1996,2015-12-31
동신종합시장,상설,경기도 성남시 분당구 수내동 들마로 361,상설,경기 성남시 수내동 63-2,88,온누리상품권,Y,Y,1996,2015-12-31
야탑에이스코아시장,상설,"경기도 성남시 분당구 야탑로 64, 3층",상설,경기 성남시 야탑동 502,22,,Y,Y,2013,2015-12-31
분당우성시장,상설,경기도 성남시 분당구 중앙공로 40번길42,상설,경기 성남시 서현동 94-3,80,,Y,Y,,2015-12-31
현대시장(분당),상설,경기도 성남시 분당구 중앙공원로40번길 8,상설,경기 성남시 서현동 94,100,온누리상품권,Y,Y,1992,2015-12-31
현대시장,상설,경기도 성남시 수정구 수정복로 18,상설,경기 성남시 태평3동 3683,49,온누리상품권,Y,Y,1976,2015-12-31
신흥시장,상설,경기도 성남시 수정구 신흥3동 436-10,상설,경기 성남시 신흥동 3436-10,31,온누리상품권,Y,Y,1977,2015-12-31
중앙시장,상설,경기도 성남시 수정구 제일로 168,상설,경기 성남시 태평동 3681,45,온누리상품권,Y,Y,2005,2015-12-31
단대전통시장,상설,경기도 성남시 중원구 광명로 289,상설,경기 성남시 금광동 10,98,온누리상품권,Y,Y,2012,2015-12-31
모란시장,상설+정기,경기도 성남시 중원구 둔촌대로 79 2층(성남동),5일,경기 성남시 성남동 4214,64,온누리상품권,Y,Y,2008,2015-12-31
하대원시장,상설,경기도 성남시 중원구 마지로 118,상설,경기 성남시 하대원동 266-1~3,102,온누리상품권,Y,Y,1991,2015-12-31
금광시장,상설,경기도 성남시 중원구 산성대로 426번길 5(금광동),상설,경기 성남시 금광동 4622,29,,Y,N,,2015-12-31
은행시장,상설,경기도 성남시 중원구 산성대로 526,상설,경기 성남시 은행동 1553,47,온누리상품권,Y,Y,1999,2015-12-31
성남남한산성시장(구은행골목시장),상설,경기도 성남시 중원구 은행2동 1565-1 2층,상설,경기 성남시 은행동 1553,61,온누리상품권,N,N,2013,2015-12-31
상대원시장,상설,경기도 성남시 중원구 희망로 344,상설,경기 성남시 상대원동 2985-1,64,온누리상품권,Y,Y,2009,2015-12-31
권선종합시장,상설,경기도 수원시 권선구 세권로 185,상설,경기 수원시 권선동 1029-1,94,온누리상품권,Y,Y,2010,2015-12-31
구매탄시장,상설,경기도 수원시 영통구 매여울로 53번길 28,상설,경기 수원시 매탄동 176,113,온누리상품권,Y,Y,2008,2015-12-31
조원시장,상설,경기도 수원시 장안구 송정로 187번길 35-1,상설,경기 수원시 조원동 742-23,122,온누리상품권,Y,N,2008,2015-12-31
정자시장,상설,경기도 수원시 장안구 수성로 261,상설,경기 수원시 정자동 73-10,140,온누리상품권,Y,N,2009,2015-12-31
장안문거북시장,상설,경기도 수원시 장안구 수성로 350번길 52,상설,경기 수원시 영화동 273-5,120,온누리상품권,Y,N,2010,2015-12-31
연무시장,상설,경기도 수원시 장안구 월드컵로 428번길 10(연무동),상설,경기 수원시 연무동 232-17,194,온누리상품권,N,N,2011,2015-12-31
파장시장,상설,경기도 수원시 장안구 파장로 82번길 9,상설,경기 수원시 파장동 580-11,170,온누리상품권,N,Y,2005,2015-12-31
매산시장,상설,경기도 수원시 팔달구 권선로 477 대우아파트 상가 2층,상설,경기 수원시 매산로1가 46-7,113,온누리상품권,N,N,2011,2015-12-31
화서시장,상설,경기도 수원시 팔달구 동말로 72,상설,경기 수원시 화서동 97-1,217,온누리상품권,Y,Y,2005,2015-12-31
역전시장,상설,경기도 수원시 팔달구 매산로 2-10(매산로 1가),상설,경기 수원시 매산로1가 57-1,247,온누리상품권,Y,Y,2012,2015-12-31
구천동공구상가,상설,경기도 수원시 팔달구 수원천로 100번길 5,상설,경기 수원시 구천동 46-23,89,온누리상품권,N,N,2005,2015-12-31
못골종합시장,상설,경기도 수원시 팔달구 수원천로 258번길 10-12,상설,경기 수원시 지동 388-3,93,온누리상품권,Y,N,2010,2015-12-31
미나리광시장,상설,경기도 수원시 팔달구 수원천로 266,상설,경기 수원시 지동 400-1,58,온누리상품권,N,N,2008,2015-12-31
시민상가시장,상설,경기도 수원시 팔달구 영동 10-18,상설,경기 수원시 영동 10-18,54,온누리상품권,Y,N,2005,2015-12-31
남문패션1번가시장,상설,경기도 수원시 팔달구 영동 43-5,상설,경기 수원시 영동 43-5,156,온누리상품권,N,N,2002,2015-12-31
영동시장,상설,경기도 수원시 팔달구 영동 8 9번지,상설,경기 수원시 영동 8,278,온누리상품권,Y,Y,1980,2015-12-31
팔달문시장,상설,경기도 수원시 팔달구 팔달로 2가 39-1,상설,경기 수원시 팔달로2가 39,227,온누리상품권,Y,N,2007,2015-12-31
지동시장,상설,경기도 수원시 팔달구 팔달분로 19,상설,경기 수원시 지동 402,213,온누리상품권,Y,Y,2005,2015-12-31
남문로데오시장,상설,경기도 수원시 팔달구 행궁로 88,상설,경기 수원시 교동 3-11,283,온누리상품권,Y,N,2005,2015-12-31
시흥삼미시장,상설,경기도 시흥시 삼미 시장 2길 35,상설,경기 시흥시 신천동 738-4번지 일원,103,온누리상품권,Y,N,2008,2015-12-31
정왕시장,상설,경기도 시흥시 정왕동 1203,상설,경기 시흥시 정왕동 1202,34,,Y,Y,2004,2015-12-31
오이도종합어시장,상설,경기도 시흥시 정왕동 2004-3,상설,경기 시흥시 정왕동 2004-3번지 일원,118,,Y,Y,2007,2015-12-31
중앙상가,상설,경기도 시흥시 정왕시장길 52,상설,경기 시흥시 정왕동 1203번지,40,,Y,Y,2003,2015-12-31
안산시시민시장,상설+정기,경기도 안산시 단원구 화랑로 149,5일,경기 안산시 초지동 604-4,407,온누리상품권,Y,Y,1997,2015-12-31
안성시장,상설+정기,경기도 안성시 서인동 13-43,5일,경기 안성시 서인동 13-1,122,온누리상품권,Y,N,2012,2015-12-31
중앙시장,상설+정기,경기도 안성시 장기로 45번길 30,5일,경기 안성시 서인동 81,67,온누리상품권,Y,N,2007,2015-12-31
죽산시장,상설+정기,경기도 안성시 죽산면 죽주로 257-5,5일,경기 안성시 죽산면 438-1,51,온누리상품권,Y,N,2010,2015-12-31
호계종합시장,상설,경기도 안양시 동안구 경수대로 556번길 38,상설,경기 안양시 호계1동 988-1,297,온누리상품권,Y,Y,2008,2015-12-31
안양관양시장,상설,경기도 안양시 동안구 관양동 1406-43,상설,경기 안양시 관양1동 1406-43,103,온누리상품권,Y,N,2006,2015-12-31
호계시장,상설,경기도 안양시 동안구 흥안대로 133번길 34 (호계동 청도A),상설,경기 안양시 호계1동 997,259,온누리상품권,Y,Y,2008,2015-12-31
중앙시장,상설,경기도 안양시 만안구 냉천로 196,상설,경기 안양시 안양4동 676-44,213,온누리상품권,Y,N,1961,2015-12-31
박달시장,상설,경기도 안양시 만안구 박달우회로 124번길 41,상설,경기 안양시 박달1동 52-1,116,온누리상품권,Y,Y,2005,2015-12-31
안양중앙인정시장,상설,경기도 안양시 만안구 범천로 196,상설,경기 안양시 안양4동 676,480,온누리상품권,Y,N,2006,2015-12-31
석수시장,상설,경기도 안양시 만안구 석수2동 288,상설,경기 안양시 석수2동 387-288,51,온누리상품권,Y,Y,,2015-12-31
육동시장,상설,경기도 안양시 만안구 안양동 434-3,상설,경기 안양시 안양6동 434-3,13,온누리상품권,Y,N,1980,2015-12-31
안양남부시장,상설,경기도 안양시 만안구 장내로 140번길 51,상설,경기 안양시 안양1동 622-378,257,온누리상품권,Y,Y,2005,2015-12-31
"양수리전통시장(구,양서시장)",정기,경기도 양평군 양서로 150번길,5일,경기 양평군 양서면 양수리 1060,176,온누리상품권,Y,Y,2013,2015-12-31
양평물맑은시장,상설+정기,경기도 양평군 양평읍 양평시장길 15,5일,경기 양평군 양평읍 양근리 409,367,온누리상품권,Y,Y,1980,2015-12-31
용문전통시장,정기,경기도 양평군 용문면 다문시장 2길 308,5일,경기 양평군 용문면 다문리 390,299,온누리상품권,Y,N,2014,2015-12-31
제일시장,상설+정기,경기도 여주시 여흥로 57번길 20,5일,경기 여주시 여주읍 하리 180-11,78,,Y,Y,1983,2015-12-31
전곡재래시장,상설,경기도 연천군 전곡읍 전곡로 172번길,상설,경기 연천군 전곡읍 전곡리 479,70,온누리상품권,Y,Y,2006,2015-12-31
오산오색시장,상설+정기,경기도 오산시 오산로 272번지,5일,경기 오산시 오산동 862,350,온누리상품권,Y,Y,2014,2015-12-31
죽전로데오상점가전통시장,상설,경기도 용인시 수지구 죽전동1003,상설,경기 용인시 수지구죽전동 1003-53번지~931번지 일원,106,온누리상품권,Y,Y,2013,2015-12-31
용인중앙시장,상설+정기,경기도 용인시 처인구 금령로 99번길 9,5일,경기 용인시 김량장동 137-1,586,온누리상품권,Y,Y,2005,2015-12-31
부곡재래시장,상설,경기도 의왕시 부곡 시장길 18,상설,경기 의왕시 부곡시장길 18,90,온누리상품권,N,N,2014,2015-12-31
의정부청과야채시장,상설,경기도 의정부시 시민로 157번길 8,상설,경기 의정부시 의정부동 30-8번지외 14필지,69,온누리상품권,Y,Y,1973,2015-12-31
의정부시장,상설,경기도 의정부시 의정부1동 148-5,상설,경기 의정부시 의정부동 149-19외 20필지,42,온누리상품권,N,N,2006,2015-12-31
의정부제일시장,상설,경기도 의정부시 의정부동 160번지,상설,경기 의정부시 의정부동 160,580,온누리상품권,Y,Y,1978,2015-12-31
사기막골도자기시장,상설,경기도 이천시 사음동 536번지,상설,경기 이천시 사음동 536,48,온누리상품권,Y,Y,2002,2015-12-31
관고전통시장,상설+정기,경기도 이천시 중리동,5일,경기 이천시 관고동 10-13,103,온누리상품권,Y,N,2013,2015-12-31
광탄시장,상설+정기,경기도 파주시 광탄면 헤음로 1120길,5일,경기 파주시 광탄면 신산리 226번지 일원,52,온누리상품권,Y,Y,2006,2015-12-31
금촌전통시장,상설+정기,경기도 파주시 금정24길 18-6,5일,경기 파주시 금촌동 320,100,온누리상품권,Y,Y,2009,2015-12-31
금촌명동로시장,상설,경기도 파주시 명동길 57,상설,경기 파주시 금촌 325-11,64,온누리상품권,N,N,2013,2015-12-31
문산자유시장,상설+정기,경기도 파주시 문산읍 문산리 10-23,5일,경기 파주시 문산읍 문산리 10-31 일원,109,온누리상품권,Y,N,2004,2015-12-31
금촌문화로시장,상설,경기도 파주시 문화로 89-1,상설,경기 파주시 금촌 66-4,167,온누리상품권,N,N,2013,2015-12-31
적성전통시장,상설+정기,경기도 파주시 적성면 마지리 46-8,5일,경기 파주시 적성면 마지리 46-8 일원,201,온누리상품권,Y,Y,2013,2015-12-31
통복시장,상설+정기,경기도 평택시 동복 시장로 25번길 10,5일,경기 평택시 통복동 70-29,526,온누리상품권,Y,Y,1965,2015-12-31
서정시장,상설+정기,경기도 평택시 서정동 317,5일,경기 평택시 서정동 317,112,온누리상품권,Y,Y,2006,2015-12-31
안중시장,상설+정기,경기도 평택시 안중읍 안현로서3길,5일,경기 평택시 안중읍 안중리 267-1,259,온누리상품권,Y,Y,1964,2015-12-31
중앙시장(평택),상설,경기도 평택시 중앙시장로 16-7,상설,경기 평택시 신장동 317-6,154,온누리상품권,Y,Y,2005,2015-12-31
송북시장,상설+정기,경기도 평택시 탄현로 346번길 24 다목적회관 3층,5일,경기 평택시 지산동 745-14,130,온누리상품권,Y,Y,1952,2015-12-31
운천전통시장,상설,경기도 포천시 영북면 영북로 177번길,상설,경기 포천시 영북면 운천리 513,57,온누리상품권,Y,Y,1989,2015-12-31
일동전통시장,상설,경기도 포천시 일동면 화동로 1033번길 13-1,상설,경기 포천시 일동면 기산리89,54,온누리상품권,Y,N,2004,2015-12-31
