시장명,시장유형,소재지도로명주소,시장개설주기,소재지지번주소,점포수,사용가능상품권,공중화장실 보유여부,주차장 보유여부,개설년도,데이터기준일자
망원동월드컵시장,상설,서울특별시 마포구 망원동 424-7,상설,서울 마포구 망원2동 423일대 ,54,온누리상품권,N,N,2004,2015-12-31
망원시장,상설,서울특별시 마포구 망원로 8길 7,상설,서울 마포구 망원1동 414-4일대 ,87,온누리상품권,N,Y,2006,2015-12-31
서교시장,상설,서울특별시 마포구 서교동 357-1,상설,서울 마포구 서교동 357-1번지 ,46,온누리상품권,Y,Y,2007,2015-12-31
동진시장,상설,서울특별시 마포구 성미산로198(연남동),상설,서울 마포구 연남동 227-15번지 ,20,,Y,N,,2015-12-31
마포농수산물시장,상설,서울특별시 마포구 성산동 533-1,상설,서울 마포구 성산2동 533-1 ,128,온누리상품권,Y,Y,2011,2015-12-31
아현시장,상설,서울특별시 마포구 아현동 굴레방로 7길 8,상설,서울 마포구 아현동 327일대 ,196,온누리상품권,Y,N,2013,2015-12-31
합정시장,상설,서울특별시 마포구 양화진길5,상설,서울 마포구 합정동 375-1,3,,Y,N,,2015-12-31
백련시장,상설,서울특별시 서대문구 가재울로 6길 53-87(남가좌동),상설,서울 서대문구 남가좌동 345-4번지 ,62,온누리상품권,Y,Y,1993,2015-12-31
모래내시장,상설,서울특별시 서대문구 수색로 2길 45,상설,서울 서대문구 남가좌동 293-40,28,온누리상품권,Y,N,,2015-12-31
서중시장,상설,서울특별시 서대문구 수색로 2길 47,상설,서울 서대문구 남가좌동 286-35,194,온누리상품권,N,N,,2015-12-31
연희사러가,상설,서울특별시 서대문구 연희맛로 23,상설,서울 서대문구 연희동 131-1번지 ,37,온누리상품권,Y,Y,1975,2015-12-31
영천시장,상설,서울특별시 서대문구 영천시장길 27,상설,서울 서대문구 영천동 294외 ,81,온누리상품권,Y,N,2011,2015-12-31
유진상가,상설,서울특별시 서대문구 통일로 484,상설,서울 서대문구 홍은동 48-84번지 ,71,,Y,Y,1973,2015-12-31
포방터시장,상설,서울특별시 서대문구 포방터길 44,상설,서울 서대문구 홍은동 9-160 ,87,온누리상품권,Y,N,2014,2015-12-31
인왕시장,상설,서울특별시 서대문구 홍제3동 298-7,상설,서울 서대문구 홍제동 298번지 ,140,온누리상품권,Y,Y,2011,2015-12-31
남부종합시장,상설,서울특별시 서초구 방배동 767-1,상설,서울 서초구 방배본동 767-1 ,115,,Y,Y,1980,2015-12-31
양재시장,상설,서울특별시 서초구 양재동 1-7,상설,서울 서초구 양재1동 1-8 ,38,,Y,N,,2015-12-31
금남시장,상설,서울특별시 성동구 금호동3가 326,상설,서울 성동구 금호3가 326 ,114,온누리상품권,Y,N,1963,2015-12-31
뚝도시장,상설,서울특별시 성동구 뚝섬로 396,상설,서울 성동구 성수2가 335 ,162,온누리상품권,Y,N,2012,2015-12-31
